Chanel_Name,band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
Left,10,20,uniform,minkowski,0.5941422594142259,0.5666666666666667
Left,10,20,distance,euclidean,1.0,0.625
Left,10,20,distance,manhattan,1.0,0.6916666666666667
Left,10,20,distance,chebyshev,1.0,0.5916666666666667
Left,10,20,distance,minkowski,1.0,0.625
Right,10,1,uniform,euclidean,1.0,0.5166666666666667
Right,10,1,uniform,manhattan,1.0,0.525
Right,10,1,uniform,chebyshev,1.0,0.5083333333333333
Right,10,1,uniform,minkowski,1.0,0.5166666666666667
Right,10,1,distance,euclidean,1.0,0.5166666666666667
Right,10,1,distance,manhattan,1.0,0.525
Right,10,1,distance,chebyshev,1.0,0.5083333333333333
Right,10,1,distance,minkowski,1.0,0.5166666666666667
Right,10,2,uniform,euclidean,0.7510460251046025,0.5083333333333333
Right,10,2,uniform,manhattan,0.7887029288702929,0.5083333333333333
Right,10,2,uniform,chebyshev,0.7615062761506276,0.5166666666666667
Right,10,2,uniform,minkowski,0.7510460251046025,0.5083333333333333
Right,10,2,distance,euclidean,1.0,0.5166666666666667
Right,10,2,distance,manhattan,1.0,0.525
Right,10,2,distance,chebyshev,1.0,0.5083333333333333
Right,10,2,distance,minkowski,1.0,0.5166666666666667
Right,10,3,uniform,euclidean,0.7677824267782427,0.55
Right,10,3,uniform,manhattan,0.7594142259414226,0.5416666666666666
Right,10,3,uniform,chebyshev,0.7259414225941423,0.525
Right,10,3,uniform,minkowski,0.7677824267782427,0.55
Right,10,3,distance,euclidean,1.0,0.525
Right,10,3,distance,manhattan,1.0,0.5083333333333333
Right,10,3,distance,chebyshev,1.0,0.5083333333333333
Right,10,3,distance,minkowski,1.0,0.525
Right,10,4,uniform,euclidean,0.7175732217573222,0.5333333333333333
Right,10,4,uniform,manhattan,0.7468619246861925,0.575
Right,10,4,uniform,chebyshev,0.7280334728033473,0.5083333333333333
Right,10,4,uniform,minkowski,0.7175732217573222,0.5333333333333333
Right,10,4,distance,euclidean,1.0,0.55
Right,10,4,distance,manhattan,1.0,0.5416666666666666
Right,10,4,distance,chebyshev,1.0,0.5166666666666667
Right,10,4,distance,minkowski,1.0,0.55
Right,10,5,uniform,euclidean,0.7196652719665272,0.575
Right,10,5,uniform,manhattan,0.7280334728033473,0.5583333333333333
Right,10,5,uniform,chebyshev,0.6799163179916318,0.5416666666666666
Right,10,5,uniform,minkowski,0.7196652719665272,0.575
Right,10,5,distance,euclidean,1.0,0.5416666666666666
Right,10,5,distance,manhattan,1.0,0.5666666666666667
Right,10,5,distance,chebyshev,1.0,0.5333333333333333
Right,10,5,distance,minkowski,1.0,0.5416666666666666
Right,10,6,uniform,euclidean,0.7280334728033473,0.55
Right,10,6,uniform,manhattan,0.7133891213389121,0.5916666666666667
Right,10,6,uniform,chebyshev,0.698744769874477,0.5083333333333333
Right,10,6,uniform,minkowski,0.7280334728033473,0.55
Right,10,6,distance,euclidean,1.0,0.5583333333333333
Right,10,6,distance,manhattan,1.0,0.5833333333333334
Right,10,6,distance,chebyshev,1.0,0.55
Right,10,6,distance,minkowski,1.0,0.5583333333333333
Right,10,7,uniform,euclidean,0.6820083682008368,0.55
Right,10,7,uniform,manhattan,0.694560669456067,0.5833333333333334
Right,10,7,uniform,chebyshev,0.6736401673640168,0.49166666666666664
Right,10,7,uniform,minkowski,0.6820083682008368,0.55
Right,10,7,distance,euclidean,1.0,0.5416666666666666
Right,10,7,distance,manhattan,1.0,0.6
Right,10,7,distance,chebyshev,1.0,0.5416666666666666
Right,10,7,distance,minkowski,1.0,0.5416666666666666
Right,10,8,uniform,euclidean,0.6924686192468619,0.5
Right,10,8,uniform,manhattan,0.7092050209205021,0.5583333333333333
Right,10,8,uniform,chebyshev,0.6799163179916318,0.5083333333333333
Right,10,8,uniform,minkowski,0.6924686192468619,0.5
Right,10,8,distance,euclidean,1.0,0.5333333333333333
Right,10,8,distance,manhattan,1.0,0.55
Right,10,8,distance,chebyshev,1.0,0.55
Right,10,8,distance,minkowski,1.0,0.5333333333333333
Right,10,9,uniform,euclidean,0.6715481171548117,0.525
Right,10,9,uniform,manhattan,0.696652719665272,0.55
Right,10,9,uniform,chebyshev,0.6652719665271967,0.5
Right,10,9,uniform,minkowski,0.6715481171548117,0.525
Right,10,9,distance,euclidean,1.0,0.525
Right,10,9,distance,manhattan,1.0,0.5666666666666667
Right,10,9,distance,chebyshev,1.0,0.5416666666666666
Right,10,9,distance,minkowski,1.0,0.525
Right,10,10,uniform,euclidean,0.6694560669456067,0.525
Right,10,10,uniform,manhattan,0.6882845188284519,0.5666666666666667
Right,10,10,uniform,chebyshev,0.6338912133891214,0.5166666666666667
Right,10,10,uniform,minkowski,0.6694560669456067,0.525
Right,10,10,distance,euclidean,1.0,0.5416666666666666
Right,10,10,distance,manhattan,1.0,0.55
Right,10,10,distance,chebyshev,1.0,0.5416666666666666
Right,10,10,distance,minkowski,1.0,0.5416666666666666
Right,10,11,uniform,euclidean,0.6610878661087866,0.5333333333333333
Right,10,11,uniform,manhattan,0.6799163179916318,0.5666666666666667
Right,10,11,uniform,chebyshev,0.6338912133891214,0.525
Right,10,11,uniform,minkowski,0.6610878661087866,0.5333333333333333
Right,10,11,distance,euclidean,1.0,0.5333333333333333
Right,10,11,distance,manhattan,1.0,0.5666666666666667
Right,10,11,distance,chebyshev,1.0,0.525
Right,10,11,distance,minkowski,1.0,0.5333333333333333
Right,10,12,uniform,euclidean,0.6527196652719666,0.5166666666666667
Right,10,12,uniform,manhattan,0.6694560669456067,0.5833333333333334
Right,10,12,uniform,chebyshev,0.6276150627615062,0.5083333333333333
Right,10,12,uniform,minkowski,0.6527196652719666,0.5166666666666667
Right,10,12,distance,euclidean,1.0,0.525
Right,10,12,distance,manhattan,1.0,0.5833333333333334
Right,10,12,distance,chebyshev,1.0,0.5333333333333333
Right,10,12,distance,minkowski,1.0,0.525
Right,10,13,uniform,euclidean,0.6548117154811716,0.5166666666666667
Right,10,13,uniform,manhattan,0.6757322175732218,0.575
Right,10,13,uniform,chebyshev,0.6213389121338913,0.5083333333333333
Right,10,13,uniform,minkowski,0.6548117154811716,0.5166666666666667
Right,10,13,distance,euclidean,1.0,0.5333333333333333
Right,10,13,distance,manhattan,1.0,0.5666666666666667
Right,10,13,distance,chebyshev,1.0,0.55
Right,10,13,distance,minkowski,1.0,0.5333333333333333
Right,10,14,uniform,euclidean,0.6422594142259415,0.5
Right,10,14,uniform,manhattan,0.6715481171548117,0.575
Right,10,14,uniform,chebyshev,0.608786610878661,0.525
Right,10,14,uniform,minkowski,0.6422594142259415,0.5
Right,10,14,distance,euclidean,1.0,0.5166666666666667
Right,10,14,distance,manhattan,1.0,0.5833333333333334
Right,10,14,distance,chebyshev,1.0,0.5333333333333333
Right,10,14,distance,minkowski,1.0,0.5166666666666667
Right,10,15,uniform,euclidean,0.6338912133891214,0.5
Right,10,15,uniform,manhattan,0.6631799163179917,0.55
Right,10,15,uniform,chebyshev,0.600418410041841,0.48333333333333334
Right,10,15,uniform,minkowski,0.6338912133891214,0.5
Right,10,15,distance,euclidean,1.0,0.5166666666666667
Right,10,15,distance,manhattan,1.0,0.5583333333333333
Right,10,15,distance,chebyshev,1.0,0.5333333333333333
Right,10,15,distance,minkowski,1.0,0.5166666666666667
Right,10,16,uniform,euclidean,0.6401673640167364,0.5333333333333333
Right,10,16,uniform,manhattan,0.6506276150627615,0.5666666666666667
Right,10,16,uniform,chebyshev,0.600418410041841,0.5083333333333333
Right,10,16,uniform,minkowski,0.6401673640167364,0.5333333333333333
Right,10,16,distance,euclidean,1.0,0.525
Right,10,16,distance,manhattan,1.0,0.55
Right,10,16,distance,chebyshev,1.0,0.5
Right,10,16,distance,minkowski,1.0,0.525
Right,10,17,uniform,euclidean,0.6359832635983264,0.5166666666666667
Right,10,17,uniform,manhattan,0.6464435146443515,0.55
Right,10,17,uniform,chebyshev,0.5899581589958159,0.5083333333333333
Right,10,17,uniform,minkowski,0.6359832635983264,0.5166666666666667
Right,10,17,distance,euclidean,1.0,0.5
Right,10,17,distance,manhattan,1.0,0.5583333333333333
Right,10,17,distance,chebyshev,1.0,0.5
Right,10,17,distance,minkowski,1.0,0.5
Right,10,18,uniform,euclidean,0.6192468619246861,0.5333333333333333
Right,10,18,uniform,manhattan,0.6485355648535565,0.55
Right,10,18,uniform,chebyshev,0.5815899581589958,0.5
Right,10,18,uniform,minkowski,0.6192468619246861,0.5333333333333333
Right,10,18,distance,euclidean,1.0,0.5083333333333333
Right,10,18,distance,manhattan,1.0,0.55
Right,10,18,distance,chebyshev,1.0,0.5
Right,10,18,distance,minkowski,1.0,0.5083333333333333
Right,10,19,uniform,euclidean,0.6108786610878661,0.5333333333333333
Right,10,19,uniform,manhattan,0.6569037656903766,0.575
Right,10,19,uniform,chebyshev,0.5962343096234309,0.5
Right,10,19,uniform,minkowski,0.6108786610878661,0.5333333333333333
Right,10,19,distance,euclidean,1.0,0.5083333333333333
Right,10,19,distance,manhattan,1.0,0.55
Right,10,19,distance,chebyshev,1.0,0.5333333333333333
Right,10,19,distance,minkowski,1.0,0.5083333333333333
Right,10,20,uniform,euclidean,0.6171548117154811,0.525
Right,10,20,uniform,manhattan,0.6401673640167364,0.575
Right,10,20,uniform,chebyshev,0.5920502092050209,0.5
Right,10,20,uniform,minkowski,0.6171548117154811,0.525
Right,10,20,distance,euclidean,1.0,0.525
Right,10,20,distance,manhattan,1.0,0.5416666666666666
Right,10,20,distance,chebyshev,1.0,0.5083333333333333
Right,10,20,distance,minkowski,1.0,0.525
